parent,child
0,17
0,16
0,15
0,4
0,3
0,2
0,1
0,19
0,137
0,18
0,259
259,217
217,10
217,11
217,9
259,219
219,7
219,8
219,5
219,6
0,144
0,276
276,62
276,63
276,196
196,65
196,64
276,195
195,78
195,194
194,80
194,79
195,81
195,67
195,68
195,69
195,70
195,71
195,72
195,73
195,74
195,75
195,76
195,77
276,162
162,143
162,66
276,202
202,51
202,49
202,50
276,201
201,56
201,200
200,58
200,57
201,199
199,61
199,59
199,60
201,52
201,53
201,54
201,55
0,20
0,291
291,274
274,83
274,84
274,145
274,82
291,189
189,86
189,85
291,289
289,136
289,283
283,90
283,188
188,89
188,87
188,88
289,186
186,93
186,91
186,92
289,241
241,95
241,96
241,94
289,183
183,97
183,182
182,103
182,98
182,99
182,100
182,101
182,102
289,269
269,106
269,268
268,236
236,177
177,122
177,119
177,120
177,121
236,123
236,124
268,180
180,107
180,179
179,113
179,108
179,109
179,110
179,111
179,112
180,178
178,118
178,114
178,115
178,116
178,117
269,104
269,105
289,174
174,128
174,125
174,126
174,127
289,129
289,130
289,131
289,170
170,133
170,132
289,169
169,134
169,135
0,293
293,215
215,13
215,12
293,14
0,288
288,282
282,221
221,155
155,152
155,22
155,23
155,24
155,25
155,26
155,27
155,28
155,29
155,139
155,140
155,149
155,151
221,21
221,164
164,141
164,30
282,138
288,153
288,277
277,41
277,40
288,42
288,250
250,203
203,47
203,45
203,46
250,44
288,263
263,159
159,146
159,31
159,32
159,33
159,34
159,35
263,209
209,38
209,36
209,37
263,163
163,142
163,39
288,262
262,147
262,43
288,261
261,156
156,150
156,48
261,148
