parent,child
0,26
0,24
0,23
0,22
0,21
0,4
0,3
0,2
0,1
0,27
0,341
341,255
255,166
255,163
255,164
255,165
341,204
0,25
0,371
371,313
313,14
313,15
313,12
313,13
371,5
371,316
316,9
316,10
316,6
316,7
316,8
371,11
0,238
238,196
238,90
0,383
383,168
383,169
383,170
0,394
394,63
394,64
394,291
291,67
291,65
291,66
394,290
290,69
290,68
394,289
289,84
289,288
288,86
288,183
288,85
289,87
289,181
289,182
289,70
289,71
289,72
289,73
289,74
289,75
289,76
289,77
289,78
289,79
289,80
289,81
289,82
289,83
394,180
394,297
297,50
297,48
297,49
394,296
296,56
296,295
295,59
295,57
295,58
296,294
294,62
294,60
294,61
296,51
296,52
296,53
296,54
296,55
0,379
379,334
334,195
334,244
244,186
244,184
244,185
334,187
334,242
242,191
242,188
242,189
242,190
334,192
334,240
240,194
240,193
379,359
359,89
359,88
0,167
0,400
400,373
373,224
224,216
224,28
224,173
373,29
400,399
399,223
223,217
223,177
399,176
399,230
230,209
230,30
230,31
230,174
230,206
230,207
230,208
399,229
229,210
229,32
229,175
400,398
398,318
318,221
221,220
221,219
318,171
318,172
398,218
400,33
400,37
400,362
362,299
299,46
299,42
299,43
299,44
299,45
362,301
301,40
301,41
301,38
301,39
400,47
400,335
335,178
335,228
228,212
228,211
400,205
400,375
375,227
227,213
227,179
375,303
303,36
303,34
303,35
400,374
374,215
374,214
0,410
410,392
392,91
392,283
283,93
283,282
282,96
282,94
282,95
392,237
237,198
237,92
237,197
392,236
236,199
236,200
410,281
281,98
281,97
410,408
408,162
408,403
403,103
403,280
280,102
280,99
280,100
280,101
408,278
278,106
278,104
278,105
408,107
408,351
351,109
351,110
351,108
408,274
274,111
274,273
273,117
273,112
273,113
273,114
273,115
273,116
408,387
387,272
272,120
272,121
387,386
386,347
347,267
267,140
267,135
267,136
267,137
267,138
267,139
347,266
266,143
266,141
266,142
347,144
386,270
270,122
270,269
269,128
269,123
269,124
269,125
269,126
269,127
270,268
268,134
268,129
268,130
268,131
268,132
268,133
387,118
387,119
408,264
264,150
264,145
264,146
264,147
264,148
264,149
408,263
263,152
263,151
408,153
408,343
343,155
343,154
408,259
259,157
259,156
408,258
258,158
258,257
257,161
257,159
257,160
410,234
234,202
234,203
234,201
0,411
411,396
396,20
396,19
411,406
406,311
311,17
311,16
406,18
